하늘 님과 카카오톡 대화
저장한 날짜 : 2026년 8월 4일 오전 11:00

2025년 1월 6일 오후 3:04, 민서 : 아까 얘기한 거 정리해봤어
1. 금요일 저녁
2. 장소는 성수
3. 예약은 내가 할게
2025년 1월 6일 오후 3:08, 민서 : 사진
2025년 1월 6일 오후 3:43, 하늘 : 오늘 어땠어?
2025년 1월 6일 오후 3:45, 하늘 : 주말에 뭐 해?
2025년 1월 6일 오후 3:48, 민서 : 아 그래?
2025년 1월 6일 오후 3:51, 민서 : 밥 먹었어?
2025년 1월 6일 오후 4:28, 하늘 : 이모티콘
2025년 1월 13일 오전 9:06, 민서 : 방금 도착했어
2025년 1월 13일 오전 9:23, 하늘 : 주말에 뭐 해?
2025년 1월 13일 오전 9:32, 민서 : 지금 시간 괜찮아?
2025년 1월 13일 오전 9:35, 민서 : 고마워 진짜
2025년 1월 13일 오전 10:04, 하늘 : 지금 뭐해
2025년 1월 13일 오전 10:07, 하늘 : 조금만 기다려줘
2025년 1월 13일 오전 10:24, 민서 : ㅇㅋ
2025년 1월 13일 오전 10:29, 민서 : 이모티콘
2025년 1월 13일 오전 10:35, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 13일 오전 10:46, 하늘 : ㅇㅇ
2025년 1월 19일 오후 4:03, 하늘 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 1월 19일 오후 4:37, 민서 : 주말에 뭐 해?
2025년 1월 19일 오후 4:40, 민서 : 오늘 어땠어?
2025년 1월 19일 오후 4:42, 민서 : 지금 뭐해
2025년 1월 19일 오후 5:26, 하늘 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 1월 19일 오후 6:00, 민서 : 오늘 있었던 일 순서대로 말하면
아침에 늦잠 자고
점심에 회의 두 개 하고
저녁엔 그냥 뻗었어
2025년 1월 19일 오후 6:02, 민서 : 오늘 어땠어?
2025년 1월 26일 오전 12:18, 하늘 : 아 그래?
2025년 1월 26일 오전 12:23, 하늘 : 아침에 지하철이 멈춰서 한참 서 있었어 결국 택시 타고 갔는데 지각했어
2025년 1월 26일 오전 12:29, 하늘 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 1월 26일 오전 1:07, 민서 : 오늘 좀 힘들었어
2025년 1월 26일 오전 1:11, 민서 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 1월 26일 오전 1:50, 하늘 : 지금 시간 괜찮아?
2025년 1월 26일 오전 1:54, 하늘 : 그래서 어떻게 됐어?
2025년 1월 26일 오전 1:56, 하늘 : 오늘 있었던 일 순서대로 말하면
아침에 늦잠 자고
점심에 회의 두 개 하고
저녁엔 그냥 뻗었어
2025년 1월 26일 오전 2:09, 민서 : 사진
2025년 1월 26일 오전 2:13, 민서 : 주말에 뭐 해?
2025년 1월 26일 오전 2:19, 민서 : 오늘 좀 힘들었어
2025년 1월 26일 오전 2:59, 하늘 : 사진
2025년 1월 26일 오전 3:05, 하늘 : 아 그래?
2025년 1월 26일 오전 3:07, 하늘 : 지금 시간 괜찮아?
2025년 1월 26일 오전 3:19, 민서 : ㅇㅋ
2025년 1월 26일 오전 3:20, 민서 : ㅇㅋ
2025년 1월 26일 오전 3:32, 하늘 : 무슨 일 있었어?
2025년 1월 26일 오전 3:47, 민서 : 아침에 지하철이 멈춰서 한참 서 있었어 결국 택시 타고 갔는데 지각했어
2025년 1월 26일 오전 3:50, 민서 : 넹
2025년 1월 26일 오전 4:17, 하늘 : 응
2025년 1월 26일 오전 4:22, 하늘 : 내일 볼 수 있어?
2025년 2월 1일 오후 8:04, 민서 : 아 그래?
2025년 2월 1일 오후 8:10, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 2월 1일 오후 8:13, 민서 : 그래서 어떻게 됐어?
2025년 2월 1일 오후 8:58, 하늘 : 이모티콘
2025년 2월 1일 오후 9:03, 하늘 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 2월 1일 오후 9:14, 민서 : 지금 뭐해
2025년 2월 1일 오후 9:16, 민서 : ㅋㅋ
2025년 2월 1일 오후 9:18, 민서 : 사진
2025년 2월 1일 오후 9:57, 하늘 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 2월 1일 오후 10:11, 민서 : 그 영화 봤는데 생각보다 별로였어 초반은 좋았는데 후반이 늘어지더라
2025년 2월 1일 오후 10:13, 민서 : 내일 몇 시에 볼까
2025년 2월 2일 오전 8:42, 민서 : 오늘 회의가 두 시간이나 늘어져서 점심을 세 시에 먹었어 진짜 배고팠어
2025년 2월 2일 오전 8:45, 민서 : 아까 말한 그거 생각해봤는데 아무래도 다음 주에 하는 게 나을 것 같아
2025년 2월 2일 오전 8:50, 민서 : 지금 뭐해
2025년 2월 2일 오전 9:29, 하늘 : 아 그래?
2025년 2월 2일 오전 9:33, 하늘 : 사진
2025년 2월 2일 오전 9:35, 하늘 : 무슨 일 있었어?
2025년 2월 2일 오전 9:58, 민서 : 밥은 먹었어?
2025년 2월 2일 오전 10:03, 민서 : 사진
2025년 2월 2일 오전 10:07, 민서 : ㅇㅋ
2025년 2월 2일 오전 10:28, 하늘 : 밥 먹었어?
2025년 2월 2일 오전 10:43, 민서 : 조금만 기다려줘
2025년 2월 2일 오전 11:23, 하늘 : 어제 그 카페 다시 가봤는데 자리가 없어서 그냥 편의점에서 커피 사왔어
2025년 2월 2일 오후 12:04, 민서 : ㅇㅋ
2025년 2월 2일 오후 12:09, 민서 : 사진
2025년 2월 2일 오후 12:13, 민서 : 어제 그 카페 다시 가봤는데 자리가 없어서 그냥 편의점에서 커피 사왔어
2025년 2월 14일 오후 3:04, 하늘 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 2월 14일 오후 3:07, 하늘 : 사진
2025년 2월 14일 오후 3:51, 민서 : 아 그래?
2025년 2월 14일 오후 3:55, 민서 : 오늘 있었던 일 순서대로 말하면
아침에 늦잠 자고
점심에 회의 두 개 하고
저녁엔 그냥 뻗었어
2025년 2월 14일 오후 3:57, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 2월 14일 오후 4:31, 하늘 : 지금 시간 괜찮아?
2025년 2월 14일 오후 4:33, 하늘 : 사진
2025년 2월 14일 오후 4:51, 민서 : 알겠어
2025년 2월 20일 오전 11:02, 하늘 : 조금만 기다려줘
2025년 2월 20일 오전 11:07, 하늘 : 어제 그 카페 다시 가봤는데 자리가 없어서 그냥 편의점에서 커피 사왔어
2025년 2월 20일 오전 11:19, 민서 : 오늘 어땠어?
2025년 2월 20일 오전 11:40, 하늘 : 응
2025년 2월 20일 오전 11:42, 하늘 : 그 영화 봤는데 생각보다 별로였어 초반은 좋았는데 후반이 늘어지더라
2025년 2월 20일 오전 11:43, 하늘 : 알겠어
2025년 2월 20일 오전 11:52, 민서 : 오늘 회의가 두 시간이나 늘어져서 점심을 세 시에 먹었어 진짜 배고팠어
2025년 2월 20일 오후 12:08, 하늘 : 굿
2025년 2월 20일 오후 12:11, 하늘 : ㅇㅋ
2025년 2월 20일 오후 12:14, 하늘 : 사진
2025년 2월 20일 오후 12:54, 민서 : 이모티콘
2025년 2월 20일 오후 12:58, 민서 : 오늘 어땠어?
2025년 2월 20일 오후 1:03, 민서 : ㅇㅇ
2025년 2월 20일 오후 1:41, 하늘 : 이모티콘
2025년 2월 20일 오후 1:44, 하늘 : ㅇㅇ
2025년 2월 27일 오전 10:03, 하늘 : 응
2025년 2월 27일 오전 10:04, 하늘 : 그래서 어떻게 됐어?
2025년 2월 27일 오전 10:06, 하늘 : 사진
2025년 2월 27일 오전 10:15, 민서 : 무슨 일 있었어?
2025년 2월 27일 오전 10:19, 민서 : 이모티콘
2025년 2월 27일 오전 10:25, 민서 : 방금 도착했어
2025년 2월 27일 오전 11:10, 하늘 : 지금 시간 괜찮아?
2025년 2월 27일 오전 11:11, 하늘 : 지금 뭐해
2025년 2월 27일 오전 11:17, 하늘 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 2월 27일 오전 11:27, 민서 : 고마워 진짜
2025년 2월 27일 오전 11:42, 하늘 : 응
2025년 2월 27일 오전 11:43, 하늘 : 내일 몇 시에 볼까
2025년 2월 27일 오전 11:44, 하늘 : 주말에 뭐 할지 정했어? 나는 그냥 집에서 쉬는 것도 괜찮을 것 같은데
2025년 2월 27일 오전 11:52, 민서 : 응
2025년 2월 27일 오전 11:55, 민서 : 내일 몇 시에 볼까
2025년 2월 27일 오전 11:57, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
2025년 2월 27일 오후 12:09, 하늘 : 지금 시간 괜찮아?
2025년 2월 27일 오후 12:10, 하늘 : 주말에 뭐 해?
2025년 3월 5일 오전 9:03, 민서 : 고마워 진짜
2025년 3월 5일 오전 9:09, 민서 : 요즘 계속 잠이 안 와서 새벽에 깨는데 그러고 나면 하루가 통째로 힘들어
